iteration localSeedProduced height_star sumTrunkArea totalDensity
0 0 nan 4.19812 4125
1 0 0.05934 4.19419 4119.5
2 0 0.0593434 4.19026 4114.01
3 0 0.0593469 4.18633 4108.52
4 0 0.0593503 4.18241 4103.04
5 0 0.0593537 4.17848 4097.57
6 0 0.0593571 4.17457 4092.11
7 0 0.0593606 4.17065 4086.65
8 0 0.059364 4.16674 4081.2
9 0 0.0593674 4.16283 4075.76
10 0 0.0593708 4.15892 4070.33
11 0 0.0593743 4.15502 4064.9
12 0 0.0593777 4.15112 4059.48
13 0 0.0593811 4.14722 4054.07
14 0 0.0593845 4.14333 4048.66
15 0 0.0593879 4.13944 4043.27
16 0 0.0593914 4.13555 4037.87
17 0 0.0593948 4.13167 4032.49
18 0 0.0593982 4.12778 4027.11
19 0 0.0594016 4.12391 4021.74
20 0 0.059405 4.12003 4016.38
21 0 0.0594084 4.11616 4011.03
22 0 0.0594119 4.11229 4005.68
23 0 0.0594153 4.10842 4000.34
24 0 0.0594187 4.10456 3995
25 0 0.0594221 4.1007 3989.68
26 0 0.0594255 4.09684 3984.36
27 0 0.0594289 4.09299 3979.05
28 0 0.0594324 4.08914 3973.74
29 0 0.0594358 4.08529 3968.47
30 0 0.0594392 4.08145 3963.17
31 0 0.0594426 4.07761 3957.89
32 0 0.059446 4.07377 3952.61
33 0 0.0594494 4.06993 3947.34
34 0 0.0594528 4.0661 3942.08
35 0 0.0594562 4.06227 3936.82
36 0 0.0594597 4.05844 3931.57
37 0 0.0594631 4.05462 3926.33
38 0 0.0594665 4.0508 3921.1
39 0 0.0594699 4.04698 3915.87
40 0 0.0594733 4.04317 3910.65
41 0 0.0594767 4.03936 3905.43
42 0 0.0594801 4.03555 3900.23
43 0 0.0594835 4.03174 3895.03
44 0 0.0594869 4.02794 3889.83
45 0 0.0594903 4.02414 3884.65
46 0 0.0594937 4.02035 3879.47
47 0 0.0594971 4.01655 3874.29
48 0 0.0595005 4.01276 3869.13
49 0 0.0595039 4.00898 3863.97
50 0 0.0595073 4.00519 3858.82
51 0 0.0595107 4.00141 3853.67
52 0 0.0595142 3.99763 3848.53
53 0 0.0595176 3.99386 3843.4
54 0 0.059521 3.99009 3838.28
55 0 0.0595244 3.98632 3833.16
56 0 0.0595278 3.98255 3828.05
57 0 0.0595312 3.97879 3822.95
58 0 0.0595346 3.97503 3817.85
59 0 0.059538 3.97127 3812.76
60 0 0.0595414 3.96752 3807.67
61 0 0.0595448 3.96377 3802.6
62 0 0.0595482 3.96002 3797.53
63 0 0.0595515 3.95627 3792.46
64 0 0.0595549 3.95253 3787.41
65 0 0.0595583 3.94879 3782.36
66 0 0.0595617 3.94505 3777.31
67 0 0.0595651 3.94132 3772.28
68 0 0.0595685 3.93759 3767.25
69 0 0.0595719 3.93386 3762.23
70 0 0.0595753 3.93014 3757.21
71 0 0.0595787 3.92642 3752.2
72 0 0.0595821 3.9227 3747.2
73 0 0.0595855 3.91899 3742.2
74 0 0.0595889 3.91527 3737.21
75 0 0.0595923 3.91156 3732.23
76 0 0.0595957 3.90786 3727.25
77 0 0.0595991 3.90415 3722.28
78 0 0.0596025 3.90045 3717.32
79 0 0.0596058 3.89676 3712.36
80 0 0.0596092 3.89306 3707.41
81 0 0.0596126 3.88937 3702.47
82 0 0.059616 3.88568 3697.53
83 0 0.0596194 3.882 3692.6
84 0 0.0596228 3.87831 3687.68
85 0 0.0596262 3.87463 3682.76
86 0 0.0596296 3.87096 3677.85
87 0 0.0596329 3.86728 3672.95
88 0 0.0596363 3.86361 3668.05
89 0 0.0596397 3.85994 3663.16
90 0 0.0596431 3.85628 3658.28
91 0 0.0596465 3.85262 3653.4
92 0 0.0596499 3.84896 3648.53
93 0 0.0596533 3.8453 3643.66
94 0 0.0596566 3.84165 3638.8
95 0 0.05966 3.838 3633.95
96 0 0.0596634 3.83435 3629.11
97 0 0.0596668 3.83071 3624.27
98 0 0.0596702 3.82707 3619.44
99 0 0.0596735 3.82343 3614.62
100 0 0.0596769 3.81979 3609.8
101 0 0.0596803 3.81616 3604.99
102 0 0.0596837 3.81253 3600.18
103 0 0.0596871 3.8089 3595.38
104 0 0.0596904 3.80528 3590.58
105 0 0.0596938 3.80166 3585.8
106 0 0.0596972 3.79804 3581.02
107 0 0.0597006 3.79443 3576.24
108 0 0.0597039 3.79081 3571.47
109 0 0.0597073 3.7872 3566.71
110 0 0.0597107 3.7836 3561.96
111 0 0.0597141 3.77999 3557.21
112 0 0.0597174 3.77639 3552.46
113 0 0.0597208 3.7728 3547.73
114 0 0.0597242 3.7692 3543
115 0 0.0597276 3.76561 3538.27
116 0 0.0597309 3.76202 3533.55
117 0 0.0597343 3.75844 3528.84
118 0 0.0597377 3.75485 3524.14
119 0 0.0597411 3.75127 3519.44
120 0 0.0597444 3.74769 3514.75
121 0 0.0597478 3.74412 3510.06
122 0 0.0597512 3.74055 3505.38
123 0 0.0597545 3.73698 3500.71
124 0 0.0597579 3.73341 3496.04
125 0 0.0597613 3.72985 3491.38
126 0 0.0597646 3.72629 3486.72
127 0 0.059768 3.72274 3482.07
128 0 0.0597714 3.71918 3477.43
129 0 0.0597747 3.71563 3472.79
130 0 0.0597781 3.71208 3468.16
131 0 0.0597815 3.70854 3463.54
132 0 0.0597848 3.70499 3458.92
133 0 0.0597882 3.70145 3454.31
134 0 0.0597916 3.69792 3449.7
135 0 0.0597949 3.69438 3445.1
136 0 0.0597983 3.69085 3440.51
137 0 0.0598017 3.68732 3435.92
138 0 0.059805 3.6838 3431.34
139 0 0.0598084 3.68028 3426.77
140 0 0.0598117 3.67676 3422.2
141 0 0.0598151 3.67324 3417.64
142 0 0.0598185 3.66973 3413.08
143 0 0.0598218 3.66621 3408.53
144 0 0.0598252 3.66271 3403.98
145 0 0.0598285 3.6592 3399.44
146 0 0.0598319 3.6557 3394.91
147 0 0.0598353 3.6522 3390.39
148 0 0.0598386 3.6487 3385.86
149 0 0.059842 3.64521 3381.35
150 0 0.0598453 3.64172 3376.84
151 0 0.0598487 3.63823 3372.34
152 0 0.059852 3.63474 3367.84
153 0 0.0598554 3.63126 3363.35
154 0 0.0598587 3.62778 3358.87
155 0 0.0598621 3.62431 3354.39
156 0 0.0598655 3.62083 3349.92
157 0 0.0598688 3.61736 3345.45
158 0 0.0598722 3.61389 3340.99
159 0 0.0598755 3.61043 3336.53
160 0 0.0598789 3.60696 3332.09
161 0 0.0598822 3.60351 3327.64
162 0 0.0598856 3.60005 3323.21
163 0 0.0598889 3.59659 3318.78
164 0 0.0598923 3.59314 3314.35
165 0 0.0598956 3.58969 3309.93
166 0 0.059899 3.58625 3305.52
167 0 0.0599023 3.58281 3301.11
168 0 0.0599057 3.57937 3296.71
169 0 0.059909 3.57593 3292.31
170 0 0.0599124 3.5725 3287.92
171 0 0.0599157 3.56906 3283.54
172 0 0.0599191 3.56564 3279.16
173 0 0.0599224 3.56221 3274.79
174 0 0.0599257 3.55879 3270.42
175 0 0.0599291 3.55537 3266.06
176 0 0.0599324 3.55195 3261.71
177 0 0.0599358 3.54854 3257.36
178 0 0.0599391 3.54512 3253.02
179 0 0.0599425 3.54171 3248.68
180 0 0.0599458 3.53831 3244.35
181 0 0.0599492 3.53491 3240.02
182 0 0.0599525 3.5315 3235.7
183 0 0.0599558 3.52811 3231.39
184 0 0.0599592 3.52471 3227.08
185 0 0.0599625 3.52132 3222.78
186 0 0.0599659 3.51793 3218.48
187 0 0.0599692 3.51454 3214.19
188 0 0.0599725 3.51116 3209.9
189 0 0.0599759 3.50778 3205.62
190 0 0.0599792 3.5044 3201.35
191 0 0.0599826 3.50103 3197.08
192 0 0.0599859 3.49765 3192.82
193 0 0.0599892 3.49428 3188.56
194 0 0.0599926 3.49092 3184.31
195 0 0.0599959 3.48755 3180.06
196 0 0.0599992 3.48419 3175.82
197 0 0.0600026 3.48083 3171.59
198 0 0.0600059 3.47748 3167.36
199 0 0.0600092 3.47413 3163.14
200 0 0.0600126 3.47077 3158.92
