iteration localSeedProduced height_star sumTrunkArea totalDensity
0 0 nan 4.19812 4125
1 0 0.05934 4.19419 4119.5
2 0 0.0593434 4.19026 4114.01
3 0 0.0593469 4.18633 4108.52
4 0 0.0593503 4.18241 4103.04
5 0 0.0593537 4.17848 4097.57
6 0 0.0593571 4.17457 4092.11
7 0 0.0593606 4.17065 4086.65
8 0 0.059364 4.16674 4081.2
9 0 0.0593674 4.16283 4075.88
10 0 0.0593708 4.15892 4070.44
11 0 0.0593743 4.15502 4065.02
12 0 0.0593777 4.15112 4059.6
13 0 0.0593811 4.14722 4054.18
14 0 0.0593845 4.14333 4048.78
15 0 0.0593879 4.13944 4043.38
16 0 0.0593914 4.13555 4037.99
17 0 0.0593948 4.13167 4032.6
18 0 0.0593982 4.12779 4027.23
19 0 0.0594016 4.12391 4021.95
20 0 0.059405 4.12003 4016.58
21 0 0.0594084 4.11616 4011.23
22 0 0.0594119 4.11229 4005.88
23 0 0.0594153 4.10842 4000.54
24 0 0.0594187 4.10456 3995.2
25 0 0.0594221 4.1007 3989.88
26 0 0.0594255 4.09684 3984.56
27 0 0.0594289 4.09299 3979.24
28 0 0.0594324 4.08914 3973.94
29 0 0.0594358 4.08529 3968.64
30 0 0.0594392 4.08145 3963.35
31 0 0.0594426 4.07761 3958.06
32 0 0.059446 4.07377 3952.85
33 0 0.0594494 4.06993 3947.58
34 0 0.0594528 4.0661 3942.32
35 0 0.0594562 4.06227 3937.06
36 0 0.0594597 4.05844 3931.81
37 0 0.0594631 4.05462 3926.57
38 0 0.0594665 4.0508 3921.33
39 0 0.0594699 4.04698 3916.1
40 0 0.0594733 4.04317 3910.88
41 0 0.0594767 4.03936 3905.67
42 0 0.0594801 4.03555 3900.46
43 0 0.0594835 4.03175 3895.26
44 0 0.0594869 4.02794 3890.07
45 0 0.0594903 4.02414 3884.88
46 0 0.0594937 4.02035 3879.7
47 0 0.0594971 4.01655 3874.53
48 0 0.0595005 4.01276 3869.36
49 0 0.0595039 4.00898 3864.2
50 0 0.0595073 4.00519 3859.09
51 0 0.0595107 4.00141 3853.95
52 0 0.0595142 3.99764 3848.81
53 0 0.0595176 3.99386 3843.68
54 0 0.059521 3.99009 3838.55
55 0 0.0595244 3.98632 3833.44
56 0 0.0595278 3.98255 3828.32
57 0 0.0595312 3.97879 3823.22
58 0 0.0595346 3.97503 3818.12
59 0 0.059538 3.97127 3813.03
60 0 0.0595414 3.96752 3807.95
61 0 0.0595448 3.96377 3802.87
62 0 0.0595482 3.96002 3797.8
63 0 0.0595515 3.95628 3792.74
64 0 0.0595549 3.95253 3787.68
65 0 0.0595583 3.94879 3782.63
66 0 0.0595617 3.94506 3777.59
67 0 0.0595651 3.94133 3772.55
68 0 0.0595685 3.9376 3767.52
69 0 0.0595719 3.93387 3762.5
70 0 0.0595753 3.93014 3757.48
71 0 0.0595787 3.92642 3752.47
72 0 0.0595821 3.92271 3747.47
73 0 0.0595855 3.91899 3742.47
74 0 0.0595889 3.91528 3737.48
75 0 0.0595923 3.91157 3732.5
76 0 0.0595957 3.90786 3727.55
77 0 0.0595991 3.90416 3722.58
78 0 0.0596025 3.90046 3717.61
79 0 0.0596058 3.89676 3712.66
80 0 0.0596092 3.89307 3707.71
81 0 0.0596126 3.88938 3702.76
82 0 0.059616 3.88569 3697.83
83 0 0.0596194 3.882 3692.9
84 0 0.0596228 3.87832 3687.97
85 0 0.0596262 3.87464 3683.05
86 0 0.0596296 3.87096 3678.14
87 0 0.0596329 3.86729 3673.24
88 0 0.0596363 3.86362 3668.34
89 0 0.0596397 3.85995 3663.45
90 0 0.0596431 3.85629 3658.57
91 0 0.0596465 3.85262 3653.69
92 0 0.0596499 3.84897 3648.82
93 0 0.0596533 3.84531 3643.95
94 0 0.0596566 3.84166 3639.09
95 0 0.05966 3.83801 3634.24
96 0 0.0596634 3.83436 3629.4
97 0 0.0596668 3.83071 3624.56
98 0 0.0596702 3.82707 3619.72
99 0 0.0596735 3.82343 3614.9
100 0 0.0596769 3.8198 3610.08
101 0 0.0596803 3.81617 3605.26
102 0 0.0596837 3.81254 3600.46
103 0 0.0596871 3.80891 3595.66
104 0 0.0596904 3.80529 3590.86
105 0 0.0596938 3.80167 3586.07
106 0 0.0596972 3.79805 3581.29
107 0 0.0597006 3.79443 3576.52
108 0 0.0597039 3.79082 3571.75
109 0 0.0597073 3.78721 3566.99
110 0 0.0597107 3.78361 3562.23
111 0 0.0597141 3.78 3557.48
112 0 0.0597174 3.7764 3552.74
113 0 0.0597208 3.7728 3548
114 0 0.0597242 3.76921 3543.27
115 0 0.0597276 3.76562 3538.55
116 0 0.0597309 3.76203 3533.83
117 0 0.0597343 3.75844 3529.12
118 0 0.0597377 3.75486 3524.41
119 0 0.0597411 3.75128 3519.71
120 0 0.0597444 3.7477 3515.03
121 0 0.0597478 3.74413 3510.35
122 0 0.0597512 3.74056 3505.67
123 0 0.0597545 3.73699 3500.99
124 0 0.0597579 3.73342 3496.33
125 0 0.0597613 3.72986 3491.66
126 0 0.0597646 3.7263 3487.01
127 0 0.059768 3.72274 3482.36
128 0 0.0597714 3.71919 3477.72
129 0 0.0597747 3.71564 3473.08
130 0 0.0597781 3.71209 3468.45
131 0 0.0597815 3.70855 3463.82
132 0 0.0597848 3.705 3459.2
133 0 0.0597882 3.70146 3454.59
134 0 0.0597916 3.69793 3449.99
135 0 0.0597949 3.69439 3445.39
136 0 0.0597983 3.69086 3440.79
137 0 0.0598017 3.68733 3436.2
138 0 0.059805 3.68381 3431.62
139 0 0.0598084 3.68029 3427.05
140 0 0.0598117 3.67677 3422.48
141 0 0.0598151 3.67325 3417.91
142 0 0.0598185 3.66974 3413.36
143 0 0.0598218 3.66623 3408.81
144 0 0.0598252 3.66272 3404.26
145 0 0.0598285 3.65921 3399.72
146 0 0.0598319 3.65571 3395.19
147 0 0.0598353 3.65221 3390.66
148 0 0.0598386 3.64871 3386.14
149 0 0.059842 3.64522 3381.63
150 0 0.0598453 3.64173 3377.12
151 0 0.0598487 3.63824 3372.62
152 0 0.059852 3.63476 3368.12
153 0 0.0598554 3.63127 3363.63
154 0 0.0598587 3.62779 3359.14
155 0 0.0598621 3.62432 3354.66
156 0 0.0598655 3.62084 3350.19
157 0 0.0598688 3.61737 3345.72
158 0 0.0598722 3.6139 3341.26
159 0 0.0598755 3.61044 3336.81
160 0 0.0598789 3.60698 3332.36
161 0 0.0598822 3.60352 3327.92
162 0 0.0598856 3.60006 3323.48
163 0 0.0598889 3.59661 3319.05
164 0 0.0598923 3.59316 3314.62
165 0 0.0598956 3.58971 3310.2
166 0 0.059899 3.58626 3305.79
167 0 0.0599023 3.58282 3301.38
168 0 0.0599057 3.57938 3296.98
169 0 0.059909 3.57594 3292.58
170 0 0.0599124 3.57251 3288.19
171 0 0.0599157 3.56908 3283.81
172 0 0.0599191 3.56565 3279.43
173 0 0.0599224 3.56222 3275.06
174 0 0.0599257 3.5588 3270.69
175 0 0.0599291 3.55538 3266.33
176 0 0.0599324 3.55196 3261.98
177 0 0.0599358 3.54855 3257.63
178 0 0.0599391 3.54514 3253.28
179 0 0.0599425 3.54173 3248.94
180 0 0.0599458 3.53832 3244.61
181 0 0.0599492 3.53492 3240.29
182 0 0.0599525 3.53152 3235.97
183 0 0.0599558 3.52812 3231.65
184 0 0.0599592 3.52473 3227.34
185 0 0.0599625 3.52133 3223.04
186 0 0.0599659 3.51795 3218.74
187 0 0.0599692 3.51456 3214.45
188 0 0.0599725 3.51118 3210.16
189 0 0.0599759 3.50779 3205.88
190 0 0.0599792 3.50442 3201.61
191 0 0.0599826 3.50104 3197.34
192 0 0.0599859 3.49767 3193.08
193 0 0.0599892 3.4943 3188.82
194 0 0.0599926 3.49093 3184.57
195 0 0.0599959 3.48757 3180.32
196 0 0.0599992 3.48421 3176.08
197 0 0.0600026 3.48085 3171.85
198 0 0.0600059 3.47749 3167.62
199 0 0.0600092 3.47414 3163.39
200 0 0.0600126 3.47079 3159.18
