iteration iterationBirth density dbh height
0 0 52 51 7.59552
0 0 51.6711 50.6711 7.56735
0 0 51.3423 50.3423 7.53911
0 0 51.0134 50.0134 7.51079
0 0 50.6846 49.6846 7.48238
0 0 50.3557 49.3557 7.4539
0 0 50.0268 49.0268 7.42534
0 0 49.698 48.698 7.39669
0 0 49.3691 48.3691 7.36796
0 0 49.0403 48.0403 7.33915
0 0 48.7114 47.7114 7.31026
0 0 48.3826 47.3826 7.28128
0 0 48.0537 47.0537 7.25221
0 0 47.7248 46.7248 7.22306
0 0 47.396 46.396 7.19382
0 0 47.0671 46.0671 7.16449
0 0 46.7383 45.7383 7.13508
0 0 46.4094 45.4094 7.10557
0 0 46.0805 45.0805 7.07597
0 0 45.7517 44.7517 7.04628
0 0 45.4228 44.4228 7.01649
0 0 45.094 44.094 6.98662
0 0 44.7651 43.7651 6.95664
0 0 44.4362 43.4362 6.92658
0 0 44.1074 43.1074 6.89641
0 0 43.7785 42.7785 6.86615
0 0 43.4497 42.4497 6.83578
0 0 43.1208 42.1208 6.80532
0 0 42.7919 41.7919 6.77475
0 0 42.4631 41.4631 6.74409
0 0 42.1342 41.1342 6.71331
0 0 41.8054 40.8054 6.68244
0 0 41.4765 40.4765 6.65146
0 0 41.1477 40.1477 6.62037
0 0 40.8188 39.8188 6.58917
0 0 40.4899 39.4899 6.55786
0 0 40.1611 39.1611 6.52644
0 0 39.8322 38.8322 6.49491
0 0 39.5034 38.5034 6.46326
0 0 39.1745 38.1745 6.4315
0 0 38.8456 37.8456 6.39962
0 0 38.5168 37.5168 6.36763
0 0 38.1879 37.1879 6.33551
0 0 37.8591 36.8591 6.30328
0 0 37.5302 36.5302 6.27092
0 0 37.2013 36.2013 6.23843
0 0 36.8725 35.8725 6.20582
0 0 36.5436 35.5436 6.17309
0 0 36.2148 35.2148 6.14022
0 0 35.8859 34.8859 6.10722
0 0 35.557 34.557 6.0741
0 0 35.2282 34.2282 6.04083
0 0 34.8993 33.8993 6.00743
0 0 34.5705 33.5705 5.97389
0 0 34.2416 33.2416 5.94021
0 0 33.9128 32.9128 5.90639
0 0 33.5839 32.5839 5.87243
0 0 33.255 32.255 5.83832
0 0 32.9262 31.9262 5.80406
0 0 32.5973 31.5973 5.76965
0 0 32.2685 31.2685 5.73508
0 0 31.9396 30.9396 5.70036
0 0 31.6107 30.6107 5.66549
0 0 31.2819 30.2819 5.63045
0 0 30.953 29.953 5.59525
0 0 30.6242 29.6242 5.55989
0 0 30.2953 29.2953 5.52436
0 0 29.9664 28.9664 5.48866
0 0 29.6376 28.6376 5.45279
0 0 29.3087 28.3087 5.41674
0 0 28.9799 27.9799 5.38051
0 0 28.651 27.651 5.3441
0 0 28.3221 27.3221 5.30751
0 0 27.9933 26.9933 5.27072
0 0 27.6644 26.6644 5.23375
0 0 27.3356 26.3356 5.19658
0 0 27.0067 26.0067 5.15921
0 0 26.6779 25.6779 5.12165
0 0 26.349 25.349 5.08387
0 0 26.0201 25.0201 5.04589
0 0 25.6913 24.6913 5.00769
0 0 25.3624 24.3624 4.96928
0 0 25.0336 24.0336 4.93065
0 0 24.7047 23.7047 4.89179
0 0 24.3758 23.3758 4.8527
0 0 24.047 23.047 4.81337
0 0 23.7181 22.7181 4.7738
0 0 23.3893 22.3893 4.734
0 0 23.0604 22.0604 4.69394
0 0 22.7315 21.7315 4.65362
0 0 22.4027 21.4027 4.61305
0 0 22.0738 21.0738 4.57221
0 0 21.745 20.745 4.53109
0 0 21.4161 20.4161 4.4897
0 0 21.0872 20.0872 4.44802
0 0 20.7584 19.7584 4.40606
0 0 20.4295 19.4295 4.36379
0 0 20.1007 19.1007 4.32122
0 0 19.7718 18.7718 4.27833
0 0 19.443 18.443 4.23513
0 0 19.1141 18.1141 4.19159
0 0 18.7852 17.7852 4.14772
0 0 18.4564 17.4564 4.1035
0 0 18.1275 17.1275 4.05892
0 0 17.7987 16.7987 4.01398
0 0 17.4698 16.4698 3.96866
0 0 17.1409 16.1409 3.92296
0 0 16.8121 15.8121 3.87685
0 0 16.4832 15.4832 3.83034
0 0 16.1544 15.1544 3.7834
0 0 15.8255 14.8255 3.73603
0 0 15.4966 14.4966 3.68821
0 0 15.1678 14.1678 3.63993
0 0 14.8389 13.8389 3.59116
0 0 14.5101 13.5101 3.5419
0 0 14.1812 13.1812 3.49213
0 0 13.8523 12.8523 3.44182
0 0 13.5235 12.5235 3.39097
0 0 13.1946 12.1946 3.33954
0 0 12.8658 11.8658 3.28752
0 0 12.5369 11.5369 3.23488
0 0 12.2081 11.2081 3.1816
0 0 11.8792 10.8792 3.12765
0 0 11.5503 10.5503 3.07299
0 0 11.2215 10.2215 3.01761
0 0 10.8926 9.89262 2.96147
0 0 10.5638 9.56376 2.90452
0 0 10.2349 9.2349 2.84674
0 0 9.90604 8.90604 2.78807
0 0 9.57718 8.57718 2.72847
0 0 9.24832 8.24832 2.6679
0 0 8.91946 7.91946 2.60628
0 0 8.5906 7.5906 2.54356
0 0 8.26174 7.26174 2.47968
0 0 7.93289 6.93289 2.41455
0 0 7.60403 6.60403 2.3481
0 0 7.27517 6.27517 2.28022
0 0 6.94631 5.94631 2.2108
0 0 6.61745 5.61745 2.13974
0 0 6.28859 5.28859 2.06687
0 0 5.95973 4.95973 1.99206
0 0 5.63087 4.63087 1.91509
0 0 5.30201 4.30201 1.83577
0 0 4.97315 3.97315 1.75381
0 0 4.6443 3.6443 1.66892
0 0 4.31544 3.31544 1.58069
0 0 3.98658 2.98658 1.48865
0 0 3.65772 2.65772 1.39218
0 0 3.32886 2.32886 1.29048
0 0 3 2 1.18245
1 0 51.9307 51.0051 7.59596
1 0 51.6022 50.6763 7.5678
1 0 51.2738 50.3475 7.53956
1 0 50.9454 50.0187 7.51124
1 0 50.617 49.6898 7.48284
1 0 50.2886 49.361 7.45436
1 0 49.9601 49.0322 7.4258
1 0 49.6317 48.7034 7.39716
1 0 49.3033 48.3745 7.36844
1 0 48.9749 48.0457 7.33963
1 0 48.6465 47.7169 7.31074
1 0 48.318 47.3881 7.28177
1 0 47.9896 47.0592 7.2527
1 0 47.6612 46.7304 7.22356
1 0 47.3328 46.4016 7.19432
1 0 47.0044 46.0728 7.165
1 0 46.6759 45.744 7.13559
1 0 46.3475 45.4151 7.10608
1 0 46.0191 45.0863 7.07649
1 0 45.6907 44.7575 7.04681
1 0 45.3623 44.4287 7.01703
1 0 45.0338 44.0999 6.98715
1 0 44.7054 43.7711 6.95719
1 0 44.377 43.4422 6.92712
1 0 44.0486 43.1134 6.89696
1 0 43.7202 42.7846 6.86671
1 0 43.3917 42.4558 6.83635
1 0 43.0633 42.127 6.80589
1 0 42.7349 41.7982 6.77533
1 0 42.4065 41.4694 6.74467
1 0 42.078 41.1406 6.71391
1 0 41.7496 40.8117 6.68304
1 0 41.4212 40.4829 6.65206
1 0 41.0928 40.1541 6.62098
1 0 40.7644 39.8253 6.58979
1 0 40.4359 39.4965 6.55849
1 0 40.1075 39.1677 6.52708
1 0 39.7791 38.8389 6.49555
1 0 39.4507 38.5101 6.46391
1 0 39.1223 38.1813 6.43216
1 0 38.7938 37.8525 6.40029
1 0 38.4654 37.5237 6.3683
1 0 38.137 37.1949 6.3362
1 0 37.8086 36.8661 6.30397
1 0 37.4802 36.5373 6.27162
1 0 37.1517 36.2085 6.23914
1 0 36.8233 35.8797 6.20654
1 0 36.4949 35.5509 6.17382
1 0 36.1665 35.2221 6.14096
1 0 35.8381 34.8933 6.10797
1 0 35.5096 34.5645 6.07485
1 0 35.1812 34.2358 6.0416
1 0 34.8528 33.907 6.00821
1 0 34.5244 33.5782 5.97468
1 0 34.196 33.2494 5.94101
1 0 33.8675 32.9206 5.9072
1 0 33.5391 32.5918 5.87325
1 0 33.2107 32.2631 5.83915
1 0 32.8823 31.9343 5.8049
1 0 32.5539 31.6055 5.7705
1 0 32.2254 31.2767 5.73595
1 0 31.897 30.9479 5.70125
1 0 31.5686 30.6192 5.66638
1 0 31.2402 30.2904 5.63136
1 0 30.9117 29.9616 5.59618
1 0 30.5833 29.6329 5.56083
1 0 30.2549 29.3041 5.52531
1 0 29.9265 28.9753 5.48963
1 0 29.5981 28.6466 5.45377
1 0 29.2696 28.3178 5.41774
1 0 28.9412 27.9891 5.38153
1 0 28.6128 27.6603 5.34513
1 0 28.2844 27.3316 5.30856
1 0 27.956 27.0028 5.27179
1 0 27.6275 26.6741 5.23484
1 0 27.2991 26.3453 5.19769
1 0 26.9707 26.0166 5.16034
1 0 26.6423 25.6878 5.12279
1 0 26.3139 25.3591 5.08504
1 0 25.9854 25.0304 5.04708
1 0 25.657 24.7017 5.0089
1 0 25.3286 24.3729 4.97051
1 0 25.0002 24.0442 4.9319
1 0 24.6718 23.7155 4.89306
1 0 24.3433 23.3868 4.854
1 0 24.0149 23.0581 4.8147
1 0 23.6865 22.7294 4.77516
1 0 23.3581 22.4007 4.73538
1 0 23.0297 22.072 4.69535
1 0 22.7012 21.7433 4.65506
1 0 22.3728 21.4146 4.61452
1 0 22.0444 21.0859 4.57371
1 0 21.716 20.7572 4.53263
1 0 21.3876 20.4286 4.49127
1 0 21.0591 20.0999 4.44963
1 0 20.7307 19.7712 4.4077
1 0 20.4023 19.4426 4.36547
1 0 20.0739 19.1139 4.32294
1 0 19.7454 18.7853 4.2801
1 0 19.417 18.4567 4.23694
1 0 19.0886 18.128 4.19345
1 0 18.7602 17.7994 4.14962
1 0 18.4318 17.4708 4.10545
1 0 18.1033 17.1422 4.06092
1 0 17.7749 16.8136 4.01604
1 0 17.4465 16.4851 3.97077
1 0 17.1181 16.1565 3.92513
1 0 16.7897 15.8279 3.87909
1 0 16.4612 15.4994 3.83264
1 0 16.1328 15.1709 3.78577
1 0 15.8044 14.8424 3.73847
1 0 15.476 14.5139 3.69073
1 0 15.1476 14.1854 3.64252
1 0 14.8191 13.8569 3.59384
1 0 14.4907 13.5284 3.54467
1 0 14.1623 13.2 3.49499
1 0 13.8339 12.8716 3.44478
1 0 13.5055 12.5432 3.39403
1 0 13.177 12.2148 3.34272
1 0 12.8486 11.8865 3.29082
1 0 12.5202 11.5582 3.2383
1 0 12.1918 11.2299 3.18516
1 0 11.8634 10.9016 3.13135
1 0 11.5349 10.5734 3.07685
1 0 11.2065 10.2452 3.02164
1 0 10.8781 9.9171 2.96568
1 0 10.5497 9.589 2.90892
1 0 10.2213 9.26095 2.85135
1 0 9.89283 8.93296 2.79291
1 0 9.56441 8.60503 2.73356
1 0 9.23599 8.27716 2.67325
1 0 8.90757 7.94936 2.61193
1 0 8.57915 7.62165 2.54953
1 0 8.25073 7.29402 2.486
1 0 7.92231 6.9665 2.42127
1 0 7.59389 6.6391 2.35525
1 0 7.26547 6.31182 2.28786
1 0 6.93705 5.9847 2.21899
1 0 6.60863 5.65775 2.14854
1 0 6.28021 5.331 2.07638
1 0 5.95179 5.00448 2.00236
1 0 5.62336 4.67823 1.92632
1 0 5.29494 4.35231 1.84806
1 0 4.96652 4.02678 1.76737
1 0 4.6381 3.70171 1.68397
1 0 4.30968 3.37723 1.59754
1 0 3.98126 3.05347 1.50771
1 0 3.65284 2.73062 1.41399
1 0 3.32442 2.40897 1.31579
1 0 2.996 2.08889 1.21235
2 0 51.8614 51.0103 7.5964
2 0 51.5334 50.6815 7.56824
2 0 51.2055 50.3527 7.54
2 0 50.8775 50.0239 7.51169
2 0 50.5495 49.6951 7.48329
2 0 50.2215 49.3663 7.45482
2 0 49.8935 49.0375 7.42627
2 0 49.5655 48.7087 7.39763
2 0 49.2376 48.3799 7.36891
2 0 48.9096 48.0511 7.34011
2 0 48.5816 47.7224 7.31122
2 0 48.2536 47.3936 7.28225
2 0 47.9256 47.0648 7.2532
2 0 47.5977 46.736 7.22405
2 0 47.2697 46.4072 7.19482
2 0 46.9417 46.0784 7.1655
2 0 46.6137 45.7497 7.1361
2 0 46.2857 45.4209 7.1066
2 0 45.9577 45.0921 7.07701
2 0 45.6298 44.7633 7.04733
2 0 45.3018 44.4346 7.01756
2 0 44.9738 44.1058 6.98769
2 0 44.6458 43.777 6.95773
2 0 44.3178 43.4482 6.92767
2 0 43.9898 43.1195 6.89752
2 0 43.6619 42.7907 6.86727
2 0 43.3339 42.4619 6.83692
2 0 43.0059 42.1332 6.80647
2 0 42.6779 41.8044 6.77591
2 0 42.3499 41.4756 6.74526
2 0 42.0219 41.1469 6.7145
2 0 41.694 40.8181 6.68364
2 0 41.366 40.4894 6.65267
2 0 41.038 40.1606 6.62159
2 0 40.71 39.8319 6.59041
2 0 40.382 39.5031 6.55912
2 0 40.054 39.1744 6.52771
2 0 39.7261 38.8456 6.49619
2 0 39.3981 38.5169 6.46456
2 0 39.0701 38.1881 6.43282
